station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,is_charging_station,status,is_installed,is_renting,is_returning,traffic,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,Date,hora,dia
420,0,3,9,0,1745980040.0,False,IN_SERVICE,1,1,1,,0,0,2025-04-29,23:28:08,Tuesday
464,6,4,10,0,1745979902.0,False,IN_SERVICE,1,1,1,,6,0,2025-04-29,23:28:08,Tuesday
420,0,3,9,0,1745983884.0,False,IN_SERVICE,1,1,1,,0,0,2025-04-30,00:33:05,Wednesday
464,6,4,10,0,1745983879.0,False,IN_SERVICE,1,1,1,,6,0,2025-04-30,00:33:05,Wednesday
420,0,3,9,0,1745986279.0,False,IN_SERVICE,1,1,1,,0,0,2025-04-30,01:14:08,Wednesday
464,6,4,10,0,1745986410.0,False,IN_SERVICE,1,1,1,,6,0,2025-04-30,01:14:08,Wednesday
420,0,3,9,0,1745989771.0,False,IN_SERVICE,1,1,1,,0,0,2025-04-30,02:12:34,Wednesday
464,6,4,10,0,1745989847.0,False,IN_SERVICE,1,1,1,,6,0,2025-04-30,02:12:34,Wednesday
420,0,3,9,0,1745993629.0,False,IN_SERVICE,1,1,1,,0,0,2025-04-30,03:16:59,Wednesday
464,6,4,10,0,1745993654.0,False,IN_SERVICE,1,1,1,,6,0,2025-04-30,03:16:59,Wednesday
420,0,3,9,0,1745996932.0,False,IN_SERVICE,1,1,1,,0,0,2025-04-30,04:11:54,Wednesday
464,6,4,10,0,1745997089.0,False,IN_SERVICE,1,1,1,,6,0,2025-04-30,04:11:54,Wednesday
420,0,3,9,0,1746000792.0,False,IN_SERVICE,1,1,1,,0,0,2025-04-30,05:16:07,Wednesday
464,6,4,10,0,1746000884.0,False,IN_SERVICE,1,1,1,,6,0,2025-04-30,05:16:07,Wednesday
420,0,3,9,0,1746004282.0,False,IN_SERVICE,1,1,1,,0,0,2025-04-30,06:12:53,Wednesday
464,6,4,10,0,1746004319.0,False,IN_SERVICE,1,1,1,,6,0,2025-04-30,06:12:53,Wednesday
420,0,3,9,0,1746007955.0,False,IN_SERVICE,1,1,1,,0,0,2025-04-30,07:13:01,Wednesday
464,6,4,10,0,1746007934.0,False,IN_SERVICE,1,1,1,,6,0,2025-04-30,07:13:01,Wednesday
420,1,3,8,0,1746011274.0,False,IN_SERVICE,1,1,1,,1,0,2025-04-30,08:10:03,Wednesday
464,7,4,9,0,1746011369.0,False,IN_SERVICE,1,1,1,,7,0,2025-04-30,08:10:03,Wednesday
420,8,3,1,0,1746015679.0,False,IN_SERVICE,1,1,1,,8,0,2025-04-30,09:22:01,Wednesday
464,16,4,0,0,1746015543.0,False,IN_SERVICE,1,1,1,,16,0,2025-04-30,09:22:01,Wednesday
420,6,3,3,0,1746019169.0,False,IN_SERVICE,1,1,1,,6,0,2025-04-30,10:22:37,Wednesday
464,16,4,0,0,1746019196.0,False,IN_SERVICE,1,1,1,,16,0,2025-04-30,10:22:37,Wednesday
420,7,3,2,0,1746022284.0,False,IN_SERVICE,1,1,1,,7,0,2025-04-30,11:11:55,Wednesday
464,16,4,0,0,1746021393.0,False,IN_SERVICE,1,1,1,,16,0,2025-04-30,11:11:55,Wednesday
420,6,3,3,0,1746025961.0,False,IN_SERVICE,1,1,1,,6,0,2025-04-30,12:12:53,Wednesday
464,16,4,0,0,1746022339.0,False,IN_SERVICE,1,1,1,,16,0,2025-04-30,12:12:53,Wednesday
420,1,3,8,0,1746029634.0,False,IN_SERVICE,1,1,1,,1,0,2025-04-30,13:14:18,Wednesday
464,16,4,0,0,1746022339.0,False,IN_SERVICE,1,1,1,,16,0,2025-04-30,13:14:18,Wednesday
420,1,3,8,0,1746032940.0,False,IN_SERVICE,1,1,1,,1,0,2025-04-30,14:10:36,Wednesday
464,16,4,0,0,1746022339.0,False,IN_SERVICE,1,1,1,,16,0,2025-04-30,14:10:36,Wednesday
420,2,3,7,0,1746036800.0,False,IN_SERVICE,1,1,1,,2,0,2025-04-30,15:16:21,Wednesday
464,16,4,0,0,1746022339.0,False,IN_SERVICE,1,1,1,,16,0,2025-04-30,15:16:21,Wednesday
420,2,3,7,0,1746040109.0,False,IN_SERVICE,1,1,1,,2,0,2025-04-30,16:09:28,Wednesday
464,16,4,0,0,1746022339.0,False,IN_SERVICE,1,1,1,,16,0,2025-04-30,16:09:28,Wednesday
420,0,3,9,0,1746043783.0,False,IN_SERVICE,1,1,1,,0,0,2025-04-30,17:13:11,Wednesday
464,16,4,0,0,1746022339.0,False,IN_SERVICE,1,1,1,,16,0,2025-04-30,17:13:11,Wednesday
420,1,3,8,0,1746047459.0,False,IN_SERVICE,1,1,1,,1,0,2025-04-30,18:11:16,Wednesday
464,16,4,0,0,1746022339.0,False,IN_SERVICE,1,1,1,,16,0,2025-04-30,18:11:16,Wednesday
420,4,3,5,0,1746050943.0,False,IN_SERVICE,1,1,1,,4,0,2025-04-30,19:11:10,Wednesday
464,16,4,0,0,1746022339.0,False,IN_SERVICE,1,1,1,,16,0,2025-04-30,19:11:10,Wednesday
420,6,3,3,0,1746054612.0,False,IN_SERVICE,1,1,1,,6,0,2025-04-30,20:11:42,Wednesday
464,16,4,0,0,1746022339.0,False,IN_SERVICE,1,1,1,,16,0,2025-04-30,20:11:42,Wednesday
420,5,3,4,0,1746054796.0,False,IN_SERVICE,1,1,1,,5,0,2025-04-30,22:02:44,Wednesday
464,16,4,0,0,1746022339.0,False,IN_SERVICE,1,1,1,,16,0,2025-04-30,22:02:44,Wednesday
420,5,3,4,0,1746054796.0,False,IN_SERVICE,1,1,1,,5,0,2025-05-01,00:11:31,Thursday
464,16,4,0,0,1746022339.0,False,IN_SERVICE,1,1,1,,16,0,2025-05-01,00:11:31,Thursday
420,5,3,4,0,1746054796.0,False,IN_SERVICE,1,1,1,,5,0,2025-05-01,01:17:42,Thursday
464,15,5,0,0,1746072856.0,False,IN_SERVICE,1,1,1,,15,0,2025-05-01,01:17:42,Thursday
420,7,3,2,0,1746076207.0,False,IN_SERVICE,1,1,1,,7,0,2025-05-01,02:12:39,Thursday
464,15,5,0,0,1746076301.0,False,IN_SERVICE,1,1,1,,15,0,2025-05-01,02:12:39,Thursday
420,7,3,2,0,1746080060.0,False,IN_SERVICE,1,1,1,,7,0,2025-05-01,03:17:41,Thursday
464,15,5,0,0,1746080099.0,False,IN_SERVICE,1,1,1,,15,0,2025-05-01,03:17:41,Thursday
420,7,3,2,0,1746083373.0,False,IN_SERVICE,1,1,1,,7,0,2025-05-01,04:12:33,Thursday
464,15,5,0,0,1746083536.0,False,IN_SERVICE,1,1,1,,15,0,2025-05-01,04:12:33,Thursday
420,7,3,2,0,1746087226.0,False,IN_SERVICE,1,1,1,,7,0,2025-05-01,05:16:07,Thursday
464,15,5,0,0,1746087337.0,False,IN_SERVICE,1,1,1,,15,0,2025-05-01,05:16:07,Thursday
420,7,3,2,0,1746090713.0,False,IN_SERVICE,1,1,1,,7,0,2025-05-01,06:12:35,Thursday
464,15,5,0,0,1746090592.0,False,IN_SERVICE,1,1,1,,15,0,2025-05-01,06:12:35,Thursday
420,7,3,2,0,1746094200.0,False,IN_SERVICE,1,1,1,,7,0,2025-05-01,07:12:31,Thursday
464,15,5,0,0,1746094216.0,False,IN_SERVICE,1,1,1,,15,0,2025-05-01,07:12:31,Thursday
420,7,3,2,0,1746097691.0,False,IN_SERVICE,1,1,1,,7,0,2025-05-01,08:10:19,Thursday
464,15,5,0,0,1746097652.0,False,IN_SERVICE,1,1,1,,15,0,2025-05-01,08:10:19,Thursday
420,7,3,2,0,1746101919.0,False,IN_SERVICE,1,1,1,,7,0,2025-05-01,09:21:40,Thursday
464,14,5,1,0,1746101992.0,False,IN_SERVICE,1,1,1,,14,0,2025-05-01,09:21:40,Thursday
420,7,3,2,0,1746105586.0,False,IN_SERVICE,1,1,1,,7,0,2025-05-01,10:21:40,Thursday
464,13,5,2,0,1746105608.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-01,10:21:40,Thursday
420,7,3,2,0,1746108533.0,False,IN_SERVICE,1,1,1,,7,0,2025-05-01,11:11:15,Thursday
464,13,5,2,0,1746108500.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-01,11:11:15,Thursday
420,7,3,2,0,1746112204.0,False,IN_SERVICE,1,1,1,,7,0,2025-05-01,12:11:38,Thursday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-01,12:11:38,Thursday
420,7,3,2,0,1746116058.0,False,IN_SERVICE,1,1,1,,7,0,2025-05-01,13:14:47,Thursday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-01,13:14:47,Thursday
420,7,3,2,0,1746119362.0,False,IN_SERVICE,1,1,1,,7,0,2025-05-01,14:10:41,Thursday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-01,14:10:41,Thursday
420,7,3,2,0,1746123214.0,False,IN_SERVICE,1,1,1,,7,0,2025-05-01,15:16:24,Thursday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-01,15:16:24,Thursday
420,7,3,2,0,1746126518.0,False,IN_SERVICE,1,1,1,,7,0,2025-05-01,16:09:15,Thursday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-01,16:09:15,Thursday
420,7,3,2,0,1746130189.0,False,IN_SERVICE,1,1,1,,7,0,2025-05-01,17:11:59,Thursday
464,13,5,2,0,1746109224.0,False,IN_SERVICE,1,1,1,,13,0,2025-05-01,17:11:59,Thursday
420,7,3,2,0,1746133680.0,False,IN_SERVICE,1,1,1,,7,0,2025-05-01,18:11:09,Thursday
